year,avg_attendance,avg_fci
2025,29386.6,NA
2024,29371.933333333334,NA
2023,29114.033333333333,NA
2022,26562.633333333335,256.40933333333334
2021,18652.1,260.576
2019,28200.633333333335,234.38033333333334
2018,28643.633333333335,230.642
2017,29895.466666666667,NA
2016,30128.266666666666,219.53466666666668
2015,30361.566666666666,211.889
2014,30345.533333333333,212.393
2013,30443.733333333334,208.44866666666667
2012,30806.333333333332,207.723
2011,30226.3,197.50066666666666
2010,30034.733333333334,194.65566666666666
2009,30222.433333333334,196.88933333333333
2008,31412.7,191.95066666666668
2007,32696.133333333335,176.567
2006,31311.366666666665,171.19133333333332
2005,30819.533333333333,164.43066666666667
2004,30039.566666666666,155.71066666666667
2003,27818.7,151.08633333333333
2002,28003.766666666666,145.21266666666668
2001,29884.9,140.94666666666666
2000,29376,132.439
